course_slug,USD,EUR,MXN,ARS,COP
biomecanica-del-movimiento,93,93,1800,120900,455800
cfm-flexion-cadera,20,20,390,20600,95900
cfm-hombro,25,25,450,32500,111900
cfm-muneca,15,15,290,19500,72900
cfm-pie,20,20,390,20600,95900
cfm-rotacion-cadera,20,20,390,20600,95900
club-actualizacion-semestral,60,60,1190,77870,276000
comunicat,55,55,1099,71500,277000
crecer-en-movimiento,35,31,650,52000,170156
int-curso-dolor,79,79,1390,78000,309400
masterclass-conciencia-corporal,6,6,145,7800,29000
masterclass-estabilidad-core,9,9,199,11700,44900
masterclass-estabilidad-estatica-dinamica,7,7,165,9100,34900
masterclass-gestion-fuerzas,9,9,199,11700,44900
masterclass-movimiento-eficiente,7,7,165,9100,34900
taller-online-a,11,11,225,14300,52500
taller-online-b,11,11,220,14300,52500
taller-online-c,22,22,440,28600,104500
taller-online-d,22,22,440,28600,104500
taller-online-e,30,30,590,39000,142500
taller-online-f,55,55,1190,71500,261500
taller-online-g,45,45,900,58500,214500
taller-online-h,15,15,290,19500,72900
taller-online-i,15,15,290,19500,72900
taller-online-j,22,22,440,28600,104500
taller-online-k,22,22,440,28600,104500
taller-online-l,22,22,440,28600,104500
taller-online-m,22,22,440,28600,104500
taller-online-n,20,20,390,26000,95900
taller-online-o,20,19,390,26000,95900
taller-online-p,22,22,440,28600,104500
taller-online-q,18,18,375,23400,85500
taller-online-r,20,20,395,26000,95900
tele-rehab,55,55,1090,71500,277000
